candidat,duree,periode,chaine,temps_parole,type_chaine
DEBOUT LA FRANCE,00:00:06,10 au 28 mai 2021,France 2,6,généralistes
LA REPUBLIQUE EN MARCHE,00:00:10,10 au 28 mai 2021,France 2,10,généralistes
LES REPUBLICAINS,00:00:35,10 au 28 mai 2021,France 2,35,généralistes
PARTI SOCIALISTE,00:00:27,10 au 28 mai 2021,France 2,27,généralistes
RASSEMBLEMENT NATIONAL,00:00:13,10 au 28 mai 2021,France 2,13,généralistes
DEBOUT LA FRANCE,00:00:06,10 mai au 4 juin,France 2,6,généralistes
LA FRANCE INSOUMISE,00:00:09,10 mai au 4 juin,France 2,9,généralistes
LA REPUBLIQUE EN MARCHE,00:00:10,10 mai au 4 juin,France 2,10,généralistes
LES REPUBLICAINS,00:00:35,10 mai au 4 juin,France 2,35,généralistes
MODEM,00:00:20,10 mai au 4 juin,France 2,20,généralistes
PARTI SOCIALISTE,00:00:27,10 mai au 4 juin,France 2,27,généralistes
RASSEMBLEMENT NATIONAL,00:00:29,10 mai au 4 juin,France 2,29,généralistes
DEBOUT LA FRANCE,00:00:06,10 mai au 11 juin,France 2,6,généralistes
LA FRANCE INSOUMISE,00:00:09,10 mai au 11 juin,France 2,9,généralistes
LA REPUBLIQUE EN MARCHE,00:00:33,10 mai au 11 juin,France 2,33,généralistes
LES REPUBLICAINS,00:00:35,10 mai au 11 juin,France 2,35,généralistes
MODEM,00:00:20,10 mai au 11 juin,France 2,20,généralistes
PARTI SOCIALISTE,00:00:27,10 mai au 11 juin,France 2,27,généralistes
RASSEMBLEMENT NATIONAL,00:00:29,10 mai au 11 juin,France 2,29,généralistes
DEBOUT LA FRANCE,00:00:06,10 mai au 18 juin,France 2,6,généralistes
EUROPE ECOLOGIE LES VERTS,00:00:17,10 mai au 18 juin,France 2,17,généralistes
GENERATION-S,00:00:08,10 mai au 18 juin,France 2,8,généralistes
LA FRANCE INSOUMISE,00:00:25,10 mai au 18 juin,France 2,25,généralistes
LA REPUBLIQUE EN MARCHE,00:00:47,10 mai au 18 juin,France 2,47,généralistes
LES REPUBLICAINS,00:00:35,10 mai au 18 juin,France 2,35,généralistes
LUTTE OUVRIERE,00:00:11,10 mai au 18 juin,France 2,11,généralistes
MODEM,00:00:20,10 mai au 18 juin,France 2,20,généralistes
PARTI COMMUNISTE FRANCAIS,00:00:13,10 mai au 18 juin,France 2,13,généralistes
PARTI SOCIALISTE,00:00:27,10 mai au 18 juin,France 2,27,généralistes
RASSEMBLEMENT NATIONAL,00:00:29,10 mai au 18 juin,France 2,29,généralistes
UDI,00:00:12,10 mai au 18 juin,France 2,12,généralistes
EUROPE ECOLOGIE LES VERTS,00:03:23,10 au 21 mai 2021,France 3,203,généralistes
LA REPUBLIQUE EN MARCHE,00:04:16,10 au 21 mai 2021,France 3,256,généralistes
DEBOUT LA FRANCE,00:02:18,10 au 28 mai 2021,France 3,138,généralistes
EUROPE ECOLOGIE LES VERTS,00:03:23,10 au 28 mai 2021,France 3,203,généralistes
LA REPUBLIQUE EN MARCHE,00:04:16,10 au 28 mai 2021,France 3,256,généralistes
PARTI COMMUNISTE FRANCAIS,00:01:06,10 au 28 mai 2021,France 3,66,généralistes
DEBOUT LA FRANCE,00:02:18,10 mai au 4 juin,France 3,138,généralistes
EUROPE ECOLOGIE LES VERTS,00:03:23,10 mai au 4 juin,France 3,203,généralistes
LA REPUBLIQUE EN MARCHE,00:04:16,10 mai au 4 juin,France 3,256,généralistes
PARTI COMMUNISTE FRANCAIS,00:01:06,10 mai au 4 juin,France 3,66,généralistes
PARTI SOCIALISTE,00:02:05,10 mai au 4 juin,France 3,125,généralistes
UDI,00:01:57,10 mai au 4 juin,France 3,117,généralistes
DEBOUT LA FRANCE,00:02:18,10 mai au 11 juin,France 3,138,généralistes
EUROPE ECOLOGIE LES VERTS,00:03:23,10 mai au 11 juin,France 3,203,généralistes
LA FRANCE INSOUMISE,00:02:22,10 mai au 11 juin,France 3,142,généralistes
LA REPUBLIQUE EN MARCHE,00:04:16,10 mai au 11 juin,France 3,256,généralistes
MODEM,00:01:50,10 mai au 11 juin,France 3,110,généralistes
PARTI COMMUNISTE FRANCAIS,00:01:06,10 mai au 11 juin,France 3,66,généralistes
PARTI SOCIALISTE,00:02:05,10 mai au 11 juin,France 3,125,généralistes
UDI,00:01:57,10 mai au 11 juin,France 3,117,généralistes
DEBOUT LA FRANCE,00:02:18,10 mai au 18 juin,France 3,138,généralistes
EUROPE ECOLOGIE LES VERTS,00:03:23,10 mai au 18 juin,France 3,203,généralistes
LES REPUBLICAINS,00:04:34,10 mai au 18 juin,France 3,274,généralistes
LA FRANCE INSOUMISE,00:02:22,10 mai au 18 juin,France 3,142,généralistes
LA REPUBLIQUE EN MARCHE,00:04:16,10 mai au 18 juin,France 3,256,généralistes
MODEM,00:01:50,10 mai au 18 juin,France 3,110,généralistes
PARTI COMMUNISTE FRANCAIS,00:01:06,10 mai au 18 juin,France 3,66,généralistes
PARTI SOCIALISTE,00:02:05,10 mai au 18 juin,France 3,125,généralistes
RASSEMBLEMENT NATIONAL,00:04:32,10 mai au 18 juin,France 3,272,généralistes
UDI,00:01:57,10 mai au 18 juin,France 3,117,généralistes
DEBOUT LA FRANCE,00:00:15,10 mai au 18 juin,Canal+,15,généralistes
EUROPE ECOLOGIE LES VERTS,00:01:00,10 mai au 18 juin,Canal+,60,généralistes
LES REPUBLICAINS,00:01:10,10 mai au 18 juin,Canal+,70,généralistes
LA FRANCE INSOUMISE,00:00:56,10 mai au 18 juin,Canal+,56,généralistes
LA REPUBLIQUE EN MARCHE,00:01:25,10 mai au 18 juin,Canal+,85,généralistes
MODEM,00:00:33,10 mai au 18 juin,Canal+,33,généralistes
PARTI COMMUNISTE FRANCAIS,00:00:30,10 mai au 18 juin,Canal+,30,généralistes
PARTI SOCIALISTE,00:01:00,10 mai au 18 juin,Canal+,60,généralistes
RASSEMBLEMENT NATIONAL,00:01:00,10 mai au 18 juin,Canal+,60,généralistes
UDI,00:00:29,10 mai au 18 juin,Canal+,29,généralistes
